metros,valor
54,220
66,331
58,215
103,599
62,270
53,250
107,650
107,555
65,317
52,195
100,422
70,330
71,304
106,450
80,362
107,560
104,445
96,480
104,515
100,495
53,260
104,540
64,340
53,205
100,605
93,465
56,249
123,730
104,430
51,249
92,560
61,265
87,440
55,275
107,425
90,490
150,825
101,535
55,320
65,361
106,710
93,477
71,410
56,240
140,600
60,240
58,230
53,260
123,749
52,272
59,289
65,350
135,620
67,395
62,225
56,230
71,310
107,600
106,636
148,550
65,330
74,259
127,780
62,325
51,249
70,310
84,509
77,390
118,556
74,350
82,495
116,558
55,210
59,285
108,629
84,520
56,210
70,450
54,240
45,227
51,195
91,570
100,703
74,450
65,270
64,314
69,337
60,300
50,239
50,270
54,245
70,325
50,180
75,397
82,495
70,319
106,636
107,560
70,355
53,305
